"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dpct","gene","motif"
"MA1647.1",4.18298810866334e-07,1.30979072996053,0.304,0.191,0.000312050912906285,0.113,"MA1647.1","PRDM4"
"MA0481.3",4.21399565232106e-07,2.24565972252454,0.224,0.184,0.000314364075663151,0.04,"MA0481.3","FOXP1"
"MA1102.2",4.48115558219846e-07,0.678210816346926,0.688,0.409,0.000334294206432005,0.279,"MA1102.2","CTCFL"
"MA0147.3",5.20011489262442e-07,-0.407434574868957,0.56,0.706,0.000387928570989782,-0.146,"MA0147.3","MYC"
"MA0778.1",6.43484141250531e-07,0.544504603530649,0.864,0.719,0.000480039169372896,0.145,"MA0778.1","NFKB2"
"MA0654.1",7.59721574726906e-07,1.03927892565144,0.408,0.274,0.000566752294746272,0.134,"MA0654.1","ISX"
"MA0717.1",7.59721574726906e-07,1.03927892565144,0.408,0.274,0.000566752294746272,0.134,"MA0717.1","RAX2"
"MA0720.1",7.59721574726906e-07,1.03927892565144,0.408,0.274,0.000566752294746272,0.134,"MA0720.1","Shox2"
"MA0684.2",8.27827827707093e-07,-0.108419644844053,1,0.988,0.000617559559469491,0.012,"MA0684.2","RUNX3"
"MA1119.1",8.52944493445362e-07,1.87162974608539,0.312,0.176,0.00063629659211024,0.136,"MA1119.1","SIX2"
"MA0616.2",1.09956312576727e-06,-0.333577679619676,0.672,0.755,0.000820274091822384,-0.083,"MA0616.2","HES2"
"MA0784.1",1.11710685773227e-06,0.438900270133171,0.84,0.713,0.000833361715868276,0.127,"MA0784.1","POU1F1"
"MA0772.1",1.24367425852893e-06,0.417233546676854,0.976,0.891,0.000927780996862584,0.085,"MA0772.1","IRF7"
"MA0641.1",1.25064776137378e-06,-0.0280286806686756,1,0.994,0.000932983229984841,0.00600000000000001,"MA0641.1","ELF4"
"MA0789.1",1.4508917357196e-06,0.401959514967305,0.928,0.797,0.00108236523484682,0.131,"MA0789.1","POU3F4"
"MA0686.1",1.47395743512886e-06,-0.166566160991314,0.896,0.941,0.00109957224660613,-0.0449999999999999,"MA0686.1","SPDEF"
"MA1646.1",1.68366100778716e-06,1.71831163558018,0.256,0.183,0.00125601111180922,0.073,"MA1646.1","OSR2"
"MA0706.1",1.70469372707125e-06,0.871733614094023,0.48,0.306,0.00127170152039515,0.174,"MA0706.1","MEOX2"
"MA0745.2",1.88978822810991e-06,-0.0626204704863236,0.992,0.998,0.00140978201816999,-0.00600000000000001,"MA0745.2","SNAI2"
"MA0527.1",2.20177734020163e-06,-0.514224335345165,0.488,0.599,0.00164252589579042,-0.111,"MA0527.1","ZBTB33"
"MA0500.2",2.23223564255162e-06,0.802169516520296,0.384,0.297,0.00166524778934351,0.087,"MA0500.2","MYOG"
"MA0707.1",2.26208133644412e-06,0.874059749293221,0.568,0.301,0.00168751267698732,0.267,"MA0707.1","MNX1"
"MA0839.1",2.33335594534587e-06,-0.318535450155258,0.68,0.798,0.00174068353522802,-0.118,"MA0839.1","CREB3L1"
"MA0768.1",3.05793658075055e-06,0.458308899911524,0.736,0.574,0.00228122068923991,0.162,"MA0768.1","LEF1"
"MA0597.1",3.23841931367047e-06,0.714166244142826,0.504,0.372,0.00241586080799817,0.132,"MA0597.1","THAP1"
"MA0627.2",3.81758502668719e-06,0.406821725597244,0.912,0.738,0.00284791842990864,0.174,"MA0627.2","POU2F3"
"MA0469.3",3.9603469469954e-06,-0.468870119290326,0.528,0.68,0.00295441882245857,-0.152,"MA0469.3","E2F3"
"MA0660.1",4.70258726521815e-06,0.736482797448087,0.688,0.456,0.00350813009985274,0.232,"MA0660.1","MEF2B"
"MA0666.1",4.85811551659841e-06,0.9321763022439,0.384,0.25,0.00362415417538241,0.134,"MA0666.1","MSX1"
"MA0708.1",4.85811551659841e-06,0.9321763022439,0.384,0.25,0.00362415417538241,0.134,"MA0708.1","MSX2"
"MA0709.1",4.85811551659841e-06,0.9321763022439,0.384,0.25,0.00362415417538241,0.134,"MA0709.1","Msx3"
"MA0876.1",4.85811551659841e-06,0.9321763022439,0.384,0.25,0.00362415417538241,0.134,"MA0876.1","BSX"
"MA0618.1",5.11183137239514e-06,0.732884819471133,0.496,0.337,0.00381342620380677,0.159,"MA0618.1","LBX1"
"MA0681.2",6.04371816202346e-06,1.11879417384786,0.496,0.26,0.0045086137488695,0.236,"MA0681.2","PHOX2B"
"MA1554.1",6.05789887852402e-06,-0.319013700542802,0.68,0.773,0.00451919256337892,-0.093,"MA1554.1","RFX7"
"MA1514.1",7.95636090733204e-06,0.517967119568632,0.48,0.36,0.0059354452368697,0.12,"MA1514.1","KLF17"
"MA0042.2",8.6788904584786e-06,0.425037885811298,0.592,0.478,0.00647445228202504,0.114,"MA0042.2","FOXI1"
