"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dpct","gene","motif"
"MA0610.1",0.00688156856606614,-0.650921921914493,0.279,0.419,1,-0.14,"MA0610.1","DMRT3"
"MA0136.2",0.00710628773233652,0.555750427300307,0.857,0.714,1,0.143,"MA0136.2","ELF5"
"MA1107.2",0.00741465299909958,0.386375244322564,0.566,0.479,1,0.087,"MA1107.2","KLF9"
"MA0637.1",0.00828715251381394,-0.315934972144977,0.39,0.5,1,-0.11,"MA0637.1","CENPB"
"MA0498.2",0.00901610610027022,0.543314744875584,0.544,0.44,1,0.104,"MA0498.2","MEIS1"
"MA1554.1",0.00915252329171663,-0.372433003229377,0.357,0.44,1,-0.083,"MA1554.1","RFX7"
"MA0858.1",0.00929418629510843,0.386813430485016,0.82,0.744,1,0.076,"MA0858.1","Rarb(var.2)"
"MA0733.1",0.0101873067732501,0.319618025917543,0.493,0.432,1,0.061,"MA0733.1","EGR4"
"MA0860.1",0.0105862476630986,0.37095307111162,0.812,0.709,1,0.103,"MA0860.1","Rarg(var.2)"
"MA0137.3",0.0114457887910233,0.362014268002175,0.974,0.927,1,0.0469999999999999,"MA0137.3","STAT1"
"MA0657.1",0.0115144467145309,-0.5070584925259,0.331,0.444,1,-0.113,"MA0657.1","KLF13"
"MA0098.3",0.0117831058985125,0.152501085889132,0.761,0.722,1,0.039,"MA0098.3","ETS1"
"MA0760.1",0.0121521144824152,0.151214610457423,0.779,0.731,1,0.048,"MA0760.1","ERF"
"MA0046.2",0.0126012865354032,-0.486995265316032,0.338,0.436,1,-0.098,"MA0046.2","HNF1A"
"MA0497.1",0.0132503595609539,0.447788015659105,0.673,0.577,1,0.0960000000000001,"MA0497.1","MEF2C"
"MA0516.2",0.0139333438592735,0.354425069946048,0.577,0.483,1,0.094,"MA0516.2","SP2"
"MA1584.1",0.0148207434533652,-0.266277436401931,0.474,0.53,1,-0.056,"MA1584.1","ZIC5"
"MA0146.2",0.0149564621295049,-0.266083649056818,0.316,0.385,1,-0.069,"MA0146.2","Zfx"
"MA0607.1",0.0149873397192814,-0.280103071490942,0.54,0.607,1,-0.0669999999999999,"MA0607.1","Bhlha15"
"MA0666.1",0.0162663967786773,0.333879679514585,0.537,0.47,1,0.0670000000000001,"MA0666.1","MSX1"
"MA0708.1",0.0162663967786773,0.333879679514585,0.537,0.47,1,0.0670000000000001,"MA0708.1","MSX2"
"MA0709.1",0.0162663967786773,0.333879679514585,0.537,0.47,1,0.0670000000000001,"MA0709.1","Msx3"
"MA0876.1",0.0162663967786773,0.333879679514585,0.537,0.47,1,0.0670000000000001,"MA0876.1","BSX"
"MA1642.1",0.0178477291282148,-0.432766614890527,0.423,0.466,1,-0.043,"MA1642.1","NEUROG2(var.2)"
"MA0081.2",0.0183504633944594,0.412867621638288,0.945,0.825,1,0.12,"MA0081.2","SPIB"
"MA1630.1",0.018533128677681,0.266434467259661,0.581,0.44,1,0.141,"MA1630.1","Znf281"
"MA0863.1",0.0185429229214396,0.254430119428529,0.68,0.551,1,0.129,"MA0863.1","MTF1"
"MA1516.1",0.0190734436410914,-0.384613721121864,0.364,0.427,1,-0.063,"MA1516.1","KLF3"
"MA0788.1",0.0193364704418583,0.369498445728528,0.489,0.41,1,0.079,"MA0788.1","POU3F3"
"MA0004.1",0.0198655946754999,-1.86495762340953,0.195,0.308,1,-0.113,"MA0004.1","Arnt"
"MA1518.1",0.0204489408087457,-0.485456948115246,0.32,0.479,1,-0.159,"MA1518.1","LHX1"
"MA1530.1",0.0208246337029671,-0.659497368714323,0.312,0.415,1,-0.103,"MA1530.1","NKX6-3"
"MA0057.1",0.020865372417978,0.207708618674335,0.555,0.513,1,0.042,"MA0057.1","MZF1(var.2)"
"MA1147.1",0.0209576727446656,0.340154192634753,0.801,0.675,1,0.126,"MA1147.1","NR4A2::RXRA"
"MA1531.1",0.0211161351996266,-0.0950875443139789,0.57,0.577,1,-0.00700000000000001,"MA1531.1","NR1D1"
"MA1484.1",0.0213745552553166,0.173950381082831,0.735,0.726,1,0.00900000000000001,"MA1484.1","ETS2"
"MA1539.1",0.0214712911113738,0.317234628588507,0.761,0.641,1,0.12,"MA1539.1","NR2F6(var.3)"
"MA0048.2",0.0215993001347065,-1.56716849732595,0.206,0.291,1,-0.085,"MA0048.2","NHLH1"
"MA0649.1",0.0216140983579128,-0.414939163416673,0.36,0.457,1,-0.097,"MA0649.1","HEY2"
"MA0513.1",0.0222452771926984,-0.438181820267609,0.312,0.423,1,-0.111,"MA0513.1","SMAD2::SMAD3::SMAD4"
"MA0641.1",0.0223781911644665,0.0225788515651402,0.408,0.389,1,0.019,"MA0641.1","ELF4"
"MA0802.1",0.0252938103411227,-0.608562975164503,0.324,0.466,1,-0.142,"MA0802.1","TBR1"
"MA0696.1",0.0257024527089951,-0.299563832213665,0.441,0.56,1,-0.119,"MA0696.1","ZIC1"
"MA0866.1",0.0257784353779464,0.313460686897716,0.835,0.765,1,0.07,"MA0866.1","SOX21"
"MA1504.1",0.0259913649099042,-0.340091217687825,0.39,0.453,1,-0.063,"MA1504.1","HOXC4"
"MA0142.1",0.0263710819562542,0.202990560564331,0.504,0.444,1,0.06,"MA0142.1","Pou5f1::Sox2"
"MA1650.1",0.0268339404360455,0.196687658395555,0.32,0.355,1,-0.035,"MA1650.1","ZBTB14"
"MA0734.2",0.0276701159369943,-0.866853864232405,0.254,0.346,1,-0.092,"MA0734.2","GLI2"
"MA0628.1",0.0277436851234002,-0.28656298250727,0.43,0.517,1,-0.087,"MA0628.1","POU6F1"
"MA0889.1",0.0278897093214731,0.334326090838221,0.621,0.517,1,0.104,"MA0889.1","GBX1"
"MA1491.1",0.0279592763999623,-0.63853922528215,0.298,0.444,1,-0.146,"MA1491.1","GLI3"
"MA0899.1",0.0289285055480146,0.210616111589777,0.592,0.521,1,0.071,"MA0899.1","HOXA10"
"MA0870.1",0.029366274119957,0.268308523203422,0.842,0.726,1,0.116,"MA0870.1","Sox1"
"MA0754.1",0.0295863302644462,-0.548628667221954,0.316,0.427,1,-0.111,"MA0754.1","CUX1"
"MA0898.1",0.0300564555370942,0.287473886018684,0.651,0.573,1,0.0780000000000001,"MA0898.1","Hmx3"
"MA0756.1",0.0300575325034126,-0.40859196706696,0.408,0.521,1,-0.113,"MA0756.1","ONECUT2"
"MA1583.1",0.0309959066567949,0.417137316697031,0.294,0.235,1,0.059,"MA1583.1","ZFP57"
