"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dpct","gene","motif"
"MA0886.1",0.000648480632736924,2.87987550775732,0.368,0.131,0.483766552021745,0.237,"MA0886.1","EMX2"
"MA1639.1",0.00069286902947562,-1.04737222432189,0.289,0.484,0.516880295988813,-0.195,"MA1639.1","MEIS1(var.2)"
"MA1145.1",0.00075694692069305,-0.51479659658349,0.645,0.803,0.564682402837015,-0.158,"MA1145.1","FOSL2::JUND(var.2)"
"MA1545.1",0.000786402413057292,-1.40159290677439,0.25,0.426,0.58665620014074,-0.176,"MA1545.1","OVOL2"
"MA0513.1",0.000805018268703585,-0.532160487260699,0.474,0.689,0.600543628452874,-0.215,"MA0513.1","SMAD2::SMAD3::SMAD4"
"MA0674.1",0.000836627223176113,2.00565807092923,0.382,0.18,0.62412390848938,0.202,"MA0674.1","NKX6-1"
"MA1519.1",0.000836627223176113,2.00565807092923,0.382,0.18,0.62412390848938,0.202,"MA1519.1","LHX5"
"MA0702.2",0.000884985649914517,2.696023968946,0.382,0.189,0.660199294836229,0.193,"MA0702.2","LMX1A"
"MA0721.1",0.000892023690054024,1.82587073276141,0.421,0.189,0.665449672780302,0.232,"MA0721.1","UNCX"
"MA1637.1",0.000949814020920631,0.283744332485822,1,1,0.708561259606791,0,"MA1637.1","EBF3"
"MA0603.1",0.00100943603637198,2.21092731859162,0.395,0.213,0.753039283133496,0.182,"MA0603.1","Arntl"
"MA0497.1",0.00101039344917178,0.411936731683759,0.987,0.975,0.753753513082148,0.012,"MA0497.1","MEF2C"
"MA0888.1",0.00108005430658649,2.01651262389771,0.395,0.27,0.805720512713522,0.125,"MA0888.1","EVX2"
"MA0155.1",0.00112878573048649,0.451702837276531,0.803,0.648,0.842074154942924,0.155,"MA0155.1","INSM1"
"MA0471.2",0.00121259009637593,0.402111872210898,0.868,0.672,0.904592211896445,0.196,"MA0471.2","E2F6"
"MA1531.1",0.00125827075273421,-0.608882782315329,0.513,0.639,0.938669981539723,-0.126,"MA1531.1","NR1D1"
"MA1119.1",0.00132952039039054,1.48620770441406,0.421,0.246,0.991822211231345,0.175,"MA1119.1","SIX2"
"MA0722.1",0.00145966129390214,1.32464690131095,0.421,0.246,1,0.175,"MA0722.1","VAX1"
"MA0723.1",0.00145966129390214,1.32464690131095,0.421,0.246,1,0.175,"MA0723.1","VAX2"
"MA1481.1",0.00145966129390214,1.32464690131095,0.421,0.246,1,0.175,"MA1481.1","DRGX"
"MA0893.2",0.00145966129390214,1.32464690131095,0.421,0.246,1,0.175,"MA0893.2","GSX2"
"MA0052.4",0.00158445210054816,0.428717464490269,0.974,0.943,1,0.031,"MA0052.4","MEF2A"
"MA0605.2",0.00159461785013624,-0.381551821726609,0.697,0.893,1,-0.196,"MA0605.2","ATF3"
"MA0873.1",0.00162936193856757,-0.683138580921669,0.474,0.623,1,-0.149,"MA0873.1","HOXD12"
"MA0773.1",0.00170301499321362,0.437489921242485,0.961,0.926,1,0.0349999999999999,"MA0773.1","MEF2D"
"MA0104.4",0.00180138129973375,-1.56376254645238,0.224,0.402,1,-0.178,"MA0104.4","MYCN"
"MA1503.1",0.00181747487783253,-0.629911614856419,0.355,0.574,1,-0.219,"MA1503.1","HOXB9"
"MA0108.2",0.00185224390437616,0.367000748132226,0.934,0.885,1,0.049,"MA0108.2","TBP"
"MA0875.1",0.0019060715384571,1.33359079732709,0.421,0.262,1,0.159,"MA0875.1","BARX1"
"MA0797.1",0.00196278575557241,-0.678710443587854,0.434,0.598,1,-0.164,"MA0797.1","TGIF2"
"MA0631.1",0.00198583737195447,-0.752730175206938,0.342,0.566,1,-0.224,"MA0631.1","Six3"
"MA1616.1",0.00208533372562297,0.483069152231548,0.816,0.582,1,0.234,"MA1616.1","Prdm15"
"MA1628.1",0.00211028292220708,0.39745588035038,0.868,0.762,1,0.106,"MA1628.1","Zic1::Zic2"
"MA1657.1",0.00221008187524809,0.780931526355936,0.513,0.344,1,0.169,"MA1657.1","ZNF652"
"MA0060.3",0.00222038951465195,-1.50457820282766,0.224,0.41,1,-0.186,"MA0060.3","NFYA"
"MA0014.3",0.0022401593664224,-2.16376713215024,0.197,0.336,1,-0.139,"MA0014.3","PAX5"
"MA1136.1",0.00244634837424656,-0.412677002108288,0.671,0.811,1,-0.14,"MA1136.1","FOSB::JUNB(var.2)"
"MA0810.1",0.00251717655725501,0.337341932470444,0.895,0.754,1,0.141,"MA0810.1","TFAP2A(var.2)"
"MA0725.1",0.00267391136733105,0.616696798997776,0.711,0.402,1,0.309,"MA0725.1","VSX1"
"MA0726.1",0.00267391136733105,0.616696798997776,0.711,0.402,1,0.309,"MA0726.1","VSX2"
"MA0822.1",0.00271489824905587,-3.28545905279017,0.25,0.336,1,-0.086,"MA0822.1","HES7"
"MA0711.1",0.00271937729610641,1.04894533263833,0.408,0.279,1,0.129,"MA0711.1","OTX1"
"MA1646.1",0.00280252888181892,0.387873865021675,0.842,0.672,1,0.17,"MA1646.1","OSR2"
"MA0719.1",0.00280846960083226,-0.39277937676565,0.632,0.762,1,-0.13,"MA0719.1","RHOXF1"
"MA1635.1",0.00281338782304329,0.406791162109979,0.816,0.738,1,0.078,"MA1635.1","BHLHE22(var.2)"
"MA1542.1",0.00284896439478081,0.79661773197063,0.408,0.32,1,0.088,"MA1542.1","OSR1"
"MA0705.1",0.00288382221844003,1.51217562315852,0.342,0.197,1,0.145,"MA0705.1","Lhx8"
"MA0612.2",0.00288382221844003,1.51217562315852,0.342,0.197,1,0.145,"MA0612.2","EMX1"
"MA1618.1",0.00289879094235259,-0.626076272711109,0.553,0.607,1,-0.0539999999999999,"MA1618.1","Ptf1a"
"MA1500.1",0.00322848146829672,1.41556374545187,0.342,0.205,1,0.137,"MA1500.1","HOXB6"
"MA0071.1",0.00362604389612206,0.396300474287437,0.868,0.844,1,0.024,"MA0071.1","RORA"
"MA1505.1",0.00387954039521061,1.21442238999169,0.447,0.262,1,0.185,"MA1505.1","HOXC8"
